left,center,right
-1033,179,1391
-1235,-66,1104
-1087,135,1357
-1564,-374,816
-1030,181,1393
-1235,-65,1105
-1086,135,1357
-1565,-375,816
-1029,182,1393
-1235,-65,1105
-1086,135,1357
-1566,-376,815
-1030,181,1393
-1235,-65,1105
-1087,134,1356
-1567,-376,815
-1031,181,1393
-1236,-65,1106
-1088,134,1356
-1567,-376,815
-1031,181,1393
-1237,-66,1106
-1088,134,1356
-1569,-378,813
-1030,181,1393
-1237,-66,1106
-1088,134,1357
-1569,-377,815
-1029,182,1394
-1236,-65,1107
-1088,134,1356
-1570,-378,814
-1029,182,1394
-1236,-65,1107
-1087,135,1358
-1571,-379,814
-1026,184,1394
-1236,-65,1106
-1087,135,1357
-1572,-379,814
-1027,183,1393
-1236,-65,1106
-1088,134,1356
-1572,-379,814
-1029,181,1392
-1236,-65,1107
-1089,133,1356
-1572,-380,813
-1030,181,1392
-1236,-66,1105
-1089,133,1355
-1571,-379,814
-1030,180,1391
-1237,-66,1105
-1090,132,1354
-1570,-378,815
-1030,180,1390
-1237,-66,1106
-1091,131,1354
-1571,-378,815
-1032,179,1390
-1237,-66,1106
-1091,131,1353
-1571,-378,816
-1032,179,1390
-1092,130,1353
-1237,-66,1106
-1570,-378,815
-1032,179,1390
-1236,-64,1108
-1092,130,1352
-1571,-379,814
-1032,179,1390
-1235,-63,1109
-1091,131,1353
-1572,-379,814
-1031,180,1391
-1236,-65,1107
-1090,131,1353
-1570,-378,815


*from measurments we can see that the average spread is about 2398 encoder ticks.
the minumum is 2339 for these twenty calibrations and the max is 2445.
most of the data variation is from the four encoders having slightly different
amounts of spread.

Conclusion: if the spread is between 2300 and 2500 it probably calibrated correctly.
